,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,433,1465,2308,4120,4866,5705,6973,7832,9735,11080,12257,13151,14048,15080,15869,16634,17739,19438,20297,21279,22001,23190,23978,25032,26077,26804,27515,28249,28991,29746
Duration,300,170,610,670,300,760,300,1400,840,610,300,300,600,300,300,610,1200,300,200,310,610,310,610,610,300,300,300,310,300,170
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,3,5,4,4,4,2,5,4,4,3,4,4,2,3,4,5,3,3,3,5,3,5,3,3,3,3,3,3,3
SAM_control,3,2,5,4,3,4,1,4,4,3,2,3,3,2,3,3,4,3,2,3,4,2,4,3,3,3,3,3,3,3
thumbs_up_down,2,2,3,3,2,3,1,3,2,3,2,3,2,1,2,3,3,2,1,2,3,2,3,2,2,2,2,2,2,1
TLX_mental,4,3,6,6,4,5,2,6,4,3,4,4,4,2,4,4,5,3,2,4,4,2,5,3,4,4,4,4,4,2
TLX_temporal,3,3,4,4,7,6,6,2,2,2,3,4,4,4,4,4,4,2,2,3,2,6,4,4,4,4,3,4,3,2
TLX_frustration,1,2,2,2,2,2,6,1,4,2,5,4,4,6,4,4,1,6,6,4,1,5,2,4,4,4,5,5,5,6
TLX_enjoyment,5,4,7,6,5,6,2,7,4,6,4,5,5,1,4,5,7,2,1,3,7,2,7,4,3,4,2,3,4,1
closeness,2,3,2,2,3,3,2,2,3,3,3,3,3,4,3,3,2,2,4,3,2,3,3,2,3,3,3,3,3,3
inspired,3,3,2,2,3,3,3,2,3,3,3,3,3,4,3,3,1,3,4,3,3,3,3,2,3,3,3,3,3,3
attachment,2,3,2,2,3,3,2,2,3,3,3,3,3,4,3,3,2,2,4,3,3,3,3,2,3,3,3,3,3,3
competition,2,2,2,3,2,3,4,2,2,4,3,2,2,4,3,4,2,2,4,2,2,3,2,3,3,3,3,3,2,3
recommend,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,2
